400 400
1.00048 7.543e-09 -1.92079e-09
1.00048 3.37854e-09 -1.59881e-08
1.00048 7.45089e-08 -2.85734e-08
1.00048 1.38907e-07 -4.01312e-08
1.00048 2.71641e-07 -5.01019e-08
1.00048 3.87983e-07 -5.80278e-08
1.00048 5.61187e-07 -6.37652e-08
1.00048 7.06211e-07 -6.73868e-08
1.00048 8.96945e-07 -6.91053e-08
1.00048 1.04952e-06 -6.91554e-08
1.00048 1.2391e-06 -6.78006e-08
1.00048 1.38311e-06 -6.52538e-08
1.00048 1.55784e-06 -6.17358e-08
1.00048 1.6818e-06 -5.74001e-08
1.00048 1.8321e-06 -5.24165e-08
1.00048 1.92805e-06 -4.68844e-08
1.00048 2.04735e-06 -4.09341e-08
1.00048 2.10993e-06 -3.46242e-08
1.00048 2.19386e-06 -2.80578e-08
1.00048 2.21953e-06 -2.12639e-08
1.00048 2.26528e-06 -1.43284e-08
1.00047 2.25186e-06 -7.25839e-09
1.00047 2.25774e-06 -1.29158e-10
1.00047 2.20399e-06 7.06828e-09
1.00047 2.16915e-06 1.42649e-08
1.00047 2.07455e-06 2.14821e-08
1.00047 1.99875e-06 2.8654e-08
1.00047 1.86331e-06 3.58121e-08
1.00047 1.74676e-06 4.28917e-08
1.00047 1.57088e-06 4.99327e-08
1.00046 1.41414e-06 5.687e-08
1.00046 1.19852e-06 6.3751e-08
1.00046 1.0024e-06 7.0509e-08
1.00046 7.47965e-07 7.71981e-08
1.00046 5.13479e-07 8.37498e-08
1.00046 2.21322e-07 9.02239e-08
1.00046 -5.03766e-08 9.65495e-08
1.00045 -3.79036e-07 1.02792e-07
1.00045 -6.86685e-07 1.08878e-07
1.00045 -1.05054e-06 1.14877e-07
1.00045 -1.3928e-06 1.20713e-07
1.00045 -1.79047e-06 1.26462e-07
1.00045 -2.16594e-06 1.32043e-07
1.00045 -2.59601e-06 1.37537e-07
1.00044 -3.00328e-06 1.4286e-07
1.00044 -3.46431e-06 1.48097e-07
1.00044 -3.90193e-06 1.53161e-07
1.00044 -4.39246e-06 1.58142e-07
1.00044 -4.85897e-06 1.62948e-07
1.00044 -5.37755e-06 1.67675e-07
1.00044 -5.87151e-06 1.72226e-07
1.00044 -6.41669e-06 1.76701e-07
1.00043 -6.93667e-06 1.81e-07
1.00043 -7.50702e-06 1.85228e-07
1.00043 -8.0516e-06 1.89281e-07
1.00043 -8.64571e-06 1.93266e-07
1.00043 -9.21349e-06 1.97078e-07
1.00043 -9.82998e-06 2.00826e-07
1.00043 -1.04196e-05 2.04402e-07
1.00043 -1.10571e-05 2.0792e-07
1.00043 -1.16673e-05 2.11267e-07
1.00042 -1.23245e-05 2.14561e-07
1.00042 -1.29539e-05 2.17684e-07
1.00042 -1.36295e-05 2.20761e-07
1.00042 -1.42768e-05 2.23668e-07
1.00042 -1.49696e-05 2.26534e-07
1.00042 -1.56336e-05 2.29232e-07
1.00042 -1.63424e-05 2.31894e-07
1.00042 -1.7022e-05 2.34389e-07
1.00042 -1.77455e-05 2.36854e-07
1.00042 -1.84395e-05 2.39153e-07
1.00042 -1.91766e-05 2.41427e-07
1.00041 -1.98839e-05 2.43538e-07
1.00041 -2.06335e-05 2.45628e-07
1.00041 -2.1353e-05 2.47555e-07
1.00041 -2.21141e-05 2.49468e-07
1.00041 -2.28447e-05 2.51219e-07
1.00041 -2.36163e-05 2.52961e-07
1.00041 -2.4357e-05 2.54542e-07
1.00041 -2.5138e-05 2.56118e-07
1.00041 -2.58878e-05 2.57534e-07
1.00041 -2.66773e-05 2.5895e-07
1.00041 -2.74354e-05 2.60208e-07
1.00041 -2.82324e-05 2.6147e-07
1.00041 -2.89978e-05 2.62574e-07
1.00041 -2.98014e-05 2.63687e-07
1.00041 -3.05732e-05 2.64643e-07
1.00041 -3.13826e-05 2.65611e-07
1.00041 -3.216e-05 2.66423e-07
1.00041 -3.29743e-05 2.67252e-07
1.00041 -3.37563e-05 2.67924e-07
1.00041 -3.45747e-05 2.68617e-07
1.00041 -3.53607e-05 2.69155e-07
1.00041 -3.61823e-05 2.69715e-07
1.00041 -3.69714e-05 2.70121e-07
1.00041 -3.77956e-05 2.70553e-07
1.00041 -3.85871e-05 2.70831e-07
1.00041 -3.9413e-05 2.71138e-07
1.00041 -4.02061e-05 2.71292e-07
1.00041 -4.10329e-05 2.71476e-07
1.00041 -4.18269e-05 2.71507e-07
1.00041 -4.26541e-05 2.71572e-07
1.00041 -4.34482e-05 2.71484e-07
1.00041 -4.42749e-05 2.71431e-07
1.00041 -4.50685e-05 2.71225e-07
1.00041 -4.58941e-05 2.71058e-07
1.00041 -4.66865e-05 2.70736e-07
1.00041 -4.75102e-05 2.70455e-07
1.00041 -4.83007e-05 2.70019e-07
1.00041 -4.91219e-05 2.69626e-07
1.00041 -4.99098e-05 2.69078e-07
1.00041 -5.07278e-05 2.68573e-07
1.00041 -5.15125e-05 2.67914e-07
1.00041 -5.23267e-05 2.673e-07
1.00041 -5.31075e-05 2.66529e-07
1.00041 -5.39171e-05 2.65806e-07
1.00041 -5.46934e-05 2.64926e-07
1.00041 -5.54979e-05 2.64094e-07
1.00041 -5.62689e-05 2.63104e-07
1.00041 -5.70676e-05 2.62164e-07
1.00041 -5.78328e-05 2.61065e-07
1.00042 -5.8625e-05 2.60016e-07
1.00042 -5.93837e-05 2.58809e-07
1.00042 -6.01688e-05 2.57652e-07
1.00042 -6.09204e-05 2.56336e-07
1.00042 -6.16977e-05 2.5507e-07
1.00042 -6.24415e-05 2.53645e-07
1.00042 -6.32104e-05 2.5227e-07
1.00042 -6.39457e-05 2.50735e-07
1.00042 -6.47056e-05 2.49252e-07
1.00042 -6.54318e-05 2.47607e-07
1.00042 -6.6182e-05 2.46014e-07
1.00043 -6.68985e-05 2.44259e-07
1.00043 -6.76383e-05 2.42555e-07
1.00043 -6.83444e-05 2.4069e-07
1.00043 -6.90731e-05 2.38875e-07
1.00043 -6.97682e-05 2.36898e-07
1.00043 -7.04853e-05 2.34973e-07
1.00043 -7.11686e-05 2.32884e-07
1.00043 -7.18733e-05 2.30846e-07
1.00044 -7.25442e-05 2.28645e-07
1.00044 -7.3236e-05 2.26494e-07
1.00044 -7.38939e-05 2.24179e-07
1.00044 -7.45719e-05 2.21915e-07
1.00044 -7.52161e-05 2.19487e-07
1.00044 -7.58798e-05 2.17109e-07
1.00044 -7.65095e-05 2.14567e-07
1.00045 -7.71582e-05 2.12074e-07
1.00045 -7.77729e-05 2.09418e-07
1.00045 -7.84059e-05 2.0681e-07
1.00045 -7.90048e-05 2.04038e-07
1.00045 -7.96214e-05 2.01315e-07
1.00045 -8.0204e-05 1.98428e-07
1.00046 -8.08035e-05 1.9559e-07
1.00046 -8.13689e-05 1.92588e-07
1.00046 -8.19507e-05 1.89633e-07
1.00046 -8.24983e-05 1.86516e-07
1.00046 -8.30617e-05 1.83446e-07
1.00046 -8.35909e-05 1.80213e-07
1.00047 -8.41352e-05 1.77028e-07
1.00047 -8.46452e-05 1.7368e-07
1.00047 -8.51697e-05 1.70379e-07
1.00047 -8.56599e-05 1.66917e-07
1.00047 -8.6164e-05 1.63502e-07
1.00048 -8.66338e-05 1.59926e-07
1.00048 -8.71167e-05 1.56397e-07
1.00048 -8.75653e-05 1.52708e-07
1.00048 -8.80265e-05 1.49066e-07
1.00048 -8.84533e-05 1.45265e-07
1.00049 -8.8892e-05 1.41511e-07
1.00049 -8.92964e-05 1.376e-07
1.00049 -8.9712e-05 1.33735e-07
1.00049 -9.00933e-05 1.29715e-07
1.0005 -9.04852e-05 1.25742e-07
1.0005 -9.08427e-05 1.21615e-07
1.0005 -9.12104e-05 1.17535e-07
1.0005 -9.15435e-05 1.13303e-07
1.0005 -9.18862e-05 1.09118e-07
1.00051 -9.21944e-05 1.04783e-07
1.00051 -9.25115e-05 1.00496e-07
1.00051 -9.27941e-05 9.60613e-08
1.00051 -9.30851e-05 9.16744e-08
1.00052 -9.33416e-05 8.71427e-08
1.00052 -9.36059e-05 8.26593e-08
1.00052 -9.38357e-05 7.80337e-08
1.00052 -9.40728e-05 7.34571e-08
1.00053 -9.42754e-05 6.8741e-08
1.00053 -9.44847e-05 6.40748e-08
1.00053 -9.46595e-05 5.9272e-08
1.00053 -9.48406e-05 5.45201e-08
1.00054 -9.49871e-05 4.96349e-08
1.00054 -9.51394e-05 4.48015e-08
1.00054 -9.52573e-05 3.98381e-08
1.00054 -9.53804e-05 3.49278e-08
1.00055 -9.54691e-05 2.98911e-08
1.00055 -9.55626e-05 2.49087e-08
1.00055 -9.56217e-05 1.98035e-08
1.00055 -9.56852e-05 1.47542e-08
1.00056 -9.57144e-05 9.58593e-09
1.00056 -9.57475e-05 4.47515e-09
1.00056 -9.57464e-05 -7.50532e-10
1.00056 -9.57488e-05 -5.91703e-09
1.00057 -9.5717e-05 -1.11942e-08
1.00057 -9.56884e-05 -1.64103e-08
1.00057 -9.56258e-05 -2.17328e-08
1.00057 -9.55659e-05 -2.69922e-08
1.00058 -9.54722e-05 -3.23534e-08
1.00058 -9.53808e-05 -3.76495e-08
1.00058 -9.52557e-05 -4.30426e-08
1.00059 -9.51327e-05 -4.83683e-08
1.00059 -9.49761e-05 -5.37863e-08
1.00059 -9.48213e-05 -5.91346e-08
1.00059 -9.46331e-05 -6.45701e-08
1.0006 -9.44464e-05 -6.99333e-08
1.0006 -9.42265e-05 -7.53787e-08
1.0006 -9.40078e-05 -8.07493e-08
1.0006 -9.37562e-05 -8.61968e-08
1.00061 -9.35056e-05 -9.15667e-08
1.00061 -9.32222e-05 -9.70081e-08
1.00061 -9.29397e-05 -1.02369e-07
1.00061 -9.26246e-05 -1.07796e-07
1.00062 -9.23103e-05 -1.1314e-07
1.00062 -9.19637e-05 -1.18544e-07
1.00062 -9.16178e-05 -1.23862e-07
1.00062 -9.12398e-05 -1.29235e-07
1.00063 -9.08623e-05 -1.34518e-07
1.00063 -9.04532e-05 -1.39851e-07
1.00063 -9.00445e-05 -1.4509e-07
1.00063 -8.96044e-05 -1.50373e-07
1.00064 -8.91647e-05 -1.5556e-07
1.00064 -8.86941e-05 -1.60785e-07
1.00064 -8.82238e-05 -1.6591e-07
1.00064 -8.7723e-05 -1.71067e-07
1.00065 -8.72225e-05 -1.76121e-07
1.00065 -8.66919e-05 -1.812e-07
1.00065 -8.61617e-05 -1.86174e-07
1.00065 -8.56017e-05 -1.91167e-07
1.00066 -8.50423e-05 -1.96051e-07
1.00066 -8.44536e-05 -2.00948e-07
1.00066 -8.38655e-05 -2.05732e-07
1.00066 -8.32486e-05 -2.10523e-07
1.00066 -8.26325e-05 -2.15199e-07
1.00067 -8.1988e-05 -2.19876e-07
1.00067 -8.13445e-05 -2.24433e-07
1.00067 -8.06732e-05 -2.28985e-07
1.00067 -8.00031e-05 -2.33415e-07
1.00067 -7.93057e-05 -2.37833e-07
1.00068 -7.86097e-05 -2.42126e-07
1.00068 -7.7887e-05 -2.46402e-07
1.00068 -7.71661e-05 -2.50548e-07
1.00068 -7.6419e-05 -2.54671e-07
1.00068 -7.56739e-05 -2.58662e-07
1.00069 -7.49033e-05 -2.62625e-07
1.00069 -7.4135e-05 -2.66451e-07
1.00069 -7.33419e-05 -2.70244e-07
1.00069 -7.25514e-05 -2.73897e-07
1.00069 -7.17368e-05 -2.77511e-07
1.00069 -7.09252e-05 -2.80983e-07
1.0007 -7.00901e-05 -2.8441e-07
1.0007 -6.92584e-05 -2.87692e-07
1.0007 -6.8404e-05 -2.90923e-07
1.0007 -6.75535e-05 -2.94007e-07
1.0007 -6.66809e-05 -2.97035e-07
1.0007 -6.58126e-05 -2.99914e-07
1.0007 -6.49231e-05 -3.02731e-07
1.00071 -6.40383e-05 -3.05396e-07
1.00071 -6.3133e-05 -3.07996e-07
1.00071 -6.22331e-05 -3.1044e-07
1.00071 -6.13134e-05 -3.12815e-07
1.00071 -6.03996e-05 -3.15032e-07
1.00071 -5.94667e-05 -3.17175e-07
1.00071 -5.85404e-05 -3.19159e-07
1.00071 -5.75958e-05 -3.21065e-07
1.00071 -5.66583e-05 -3.22809e-07
1.00071 -5.57034e-05 -3.24471e-07
1.00072 -5.47562e-05 -3.25971e-07
1.00072 -5.37924e-05 -3.27385e-07
1.00072 -5.28369e-05 -3.28634e-07
1.00072 -5.18656e-05 -3.29794e-07
1.00072 -5.09033e-05 -3.3079e-07
1.00072 -4.99261e-05 -3.31692e-07
1.00072 -4.89585e-05 -3.32429e-07
1.00072 -4.79769e-05 -3.3307e-07
1.00072 -4.70055e-05 -3.33544e-07
1.00072 -4.60209e-05 -3.3392e-07
1.00072 -4.50473e-05 -3.3413e-07
1.00072 -4.40614e-05 -3.34239e-07
1.00072 -4.30871e-05 -3.3418e-07
1.00072 -4.21014e-05 -3.34019e-07
1.00072 -4.1128e-05 -3.33691e-07
1.00072 -4.01441e-05 -3.33259e-07
1.00072 -3.91731e-05 -3.32661e-07
1.00072 -3.81926e-05 -3.31956e-07
1.00072 -3.72257e-05 -3.31086e-07
1.00072 -3.62501e-05 -3.30108e-07
1.00072 -3.52889e-05 -3.28966e-07
1.00072 -3.43198e-05 -3.27716e-07
1.00072 -3.33658e-05 -3.26303e-07
1.00072 -3.24048e-05 -3.24781e-07
1.00072 -3.14597e-05 -3.23097e-07
1.00072 -3.05084e-05 -3.21304e-07
1.00072 -2.95736e-05 -3.19351e-07
1.00072 -2.86336e-05 -3.1729e-07
1.00072 -2.77109e-05 -3.15071e-07
1.00072 -2.67836e-05 -3.12744e-07
1.00071 -2.58744e-05 -3.1026e-07
1.00071 -2.49615e-05 -3.0767e-07
1.00071 -2.40673e-05 -3.04926e-07
1.00071 -2.31703e-05 -3.02077e-07
1.00071 -2.22927e-05 -2.99077e-07
1.00071 -2.14131e-05 -2.95973e-07
1.00071 -2.05534e-05 -2.92721e-07
1.00071 -1.96927e-05 -2.89366e-07
1.00071 -1.88525e-05 -2.85868e-07
1.00071 -1.8012e-05 -2.82269e-07
1.00071 -1.71928e-05 -2.7853e-07
1.0007 -1.6374e-05 -2.74693e-07
1.0007 -1.55771e-05 -2.70719e-07
1.0007 -1.47813e-05 -2.6665e-07
1.0007 -1.4008e-05 -2.62449e-07
1.0007 -1.32366e-05 -2.58156e-07
1.0007 -1.24883e-05 -2.53735e-07
1.0007 -1.17425e-05 -2.49225e-07
1.00069 -1.10205e-05 -2.44592e-07
1.00069 -1.03015e-05 -2.39873e-07
1.00069 -9.60689e-06 -2.35037e-07
1.00069 -8.91602e-06 -2.30119e-07
1.00069 -8.24997e-06 -2.25089e-07
1.00069 -7.58828e-06 -2.19981e-07
1.00069 -6.95191e-06 -2.14767e-07
1.00068 -6.32047e-06 -2.09479e-07
1.00068 -5.71483e-06 -2.04091e-07
1.00068 -5.11466e-06 -1.98634e-07
1.00068 -4.54073e-06 -1.93083e-07
1.00068 -3.97276e-06 -1.87467e-07
1.00068 -3.43144e-06 -1.81765e-07
1.00067 -2.89656e-06 -1.76003e-07
1.00067 -2.3887e-06 -1.70161e-07
1.00067 -1.88771e-06 -1.64266e-07
1.00067 -1.41408e-06 -1.58297e-07
1.00067 -9.47701e-07 -1.52281e-07
1.00067 -5.08997e-07 -1.46199e-07
1.00066 -7.78821e-08 -1.40076e-07
1.00066 3.25291e-07 -1.33895e-07
1.00066 7.20576e-07 -1.2768e-07
1.00066 1.0877e-06 -1.21415e-07
1.00066 1.44667e-06 -1.15123e-07
1.00065 1.77731e-06 -1.08789e-07
1.00065 2.0996e-06 -1.02437e-07
1.00065 2.39342e-06 -9.60517e-08
1.00065 2.67874e-06 -8.96566e-08
1.00065 2.93552e-06 -8.32382e-08
1.00065 3.1837e-06 -7.68188e-08
1.00064 3.40331e-06 -7.03865e-08
1.00064 3.61429e-06 -6.3963e-08
1.00064 3.79673e-06 -5.75378e-08
1.00064 3.97058e-06 -5.11322e-08
1.00064 4.116e-06 -4.4737e-08
1.00064 4.25291e-06 -3.83732e-08
1.00063 4.36157e-06 -3.2033e-08
1.00063 4.46191e-06 -2.57374e-08
1.00063 4.53424e-06 -1.94802e-08
1.00063 4.59851e-06 -1.32823e-08
1.00063 4.63513e-06 -7.13927e-09
1.00063 4.66403e-06 -1.07217e-09
1.00062 4.66572e-06 4.92136e-09
1.00062 4.66017e-06 1.08198e-08
1.00062 4.62795e-06 1.66233e-08
1.00062 4.58908e-06 2.23096e-08
1.00062 4.52422e-06 2.78761e-08
1.00062 4.45345e-06 3.32991e-08
1.00062 4.35752e-06 3.85731e-08
1.00062 4.25657e-06 4.36726e-08
1.00061 4.13148e-06 4.85879e-08
1.00061 4.00246e-06 5.3291e-08
1.00061 3.85053e-06 5.77675e-08
1.00061 3.69599e-06 6.19853e-08
1.00061 3.52002e-06 6.59241e-08
1.00061 3.34306e-06 6.95463e-08
1.00061 3.14648e-06 7.28237e-08
1.00061 2.95087e-06 7.57112e-08
1.00061 2.73783e-06 7.81703e-08
1.00061 2.52819e-06 8.01455e-08
1.00061 2.3038e-06 8.1585e-08
1.00061 2.08579e-06 8.24194e-08
1.00061 1.85635e-06 8.258e-08
1.00061 1.63697e-06 8.19801e-08
1.00061 1.41028e-06 8.05313e-08
1.00061 1.1982e-06 7.81288e-08
1.00061 9.83889e-07 7.46671e-08
1.0006 7.89807e-07 7.00331e-08
1.0006 5.9966e-07 6.41267e-08
1.00061 4.36413e-07 5.68694e-08
1.00061 2.84175e-07 4.82444e-08
1.00061 1.66046e-07 3.83379e-08
1.00061 6.5792e-08 2.74137e-08
1.00061 5.33989e-09 1.59745e-08
1.00061 -3.39268e-08 4.75542e-09
1.00061 -3.38694e-08 -5.56559e-09
1.00061 -1.73375e-08 -1.52321e-08
1.00048 2.04901e-08 -2.13881e-08
1.00048 7.12841e-08 -9.5581e-08
1.00048 2.37608e-07 -1.60787e-07
1.00048 4.30366e-07 -2.19694e-07
1.00048 7.19087e-07 -2.68928e-07
1.00048 1.01269e-06 -3.06828e-07
1.00048 1.37808e-06 -3.33209e-07
1.00048 1.72406e-06 -3.48733e-07
1.00048 2.11884e-06 -3.54464e-07
1.00048 2.47329e-06 -3.51583e-07
1.00048 2.85782e-06 -3.41259e-07
1.00048 3.18562e-06 -3.24564e-07
1.00048 3.52918e-06 -3.02461e-07
1.00048 3.80368e-06 -2.75793e-07
1.00048 4.08331e-06 -2.45292e-07
1.00048 4.28486e-06 -2.11588e-07
1.00048 4.48383e-06 -1.75227e-07
1.00048 4.59826e-06 -1.36674e-07
1.00048 4.70464e-06 -9.6335e-08
1.00048 4.72202e-06 -5.45522e-08
1.00048 4.7276e-06 -1.16303e-08
1.00047 4.64123e-06 3.21768e-08
1.00047 4.54064e-06 7.6639e-08
1.00047 4.34631e-06 1.21566e-07
1.00047 4.13636e-06 1.66783e-07
1.00047 3.83179e-06 2.12147e-07
1.00047 3.51098e-06 2.57522e-07
1.00047 3.09539e-06 3.02802e-07
1.00047 2.66353e-06 3.4788e-07
1.00047 2.13726e-06 3.92676e-07
1.00046 1.5952e-06 4.37107e-07
1.00046 9.59532e-07 4.81115e-07
1.00046 3.089e-07 5.24631e-07
1.00046 -4.34207e-07 5.67615e-07
1.00046 -1.19116e-06 6.10012e-07
1.00046 -2.03919e-06 6.51794e-07
1.00046 -2.89972e-06 6.92917e-07
1.00045 -3.84974e-06 7.33362e-07
1.00045 -4.81077e-06 7.73095e-07
1.00045 -5.85951e-06 8.12104e-07
1.00045 -6.91765e-06 8.50362e-07
1.00045 -8.06164e-06 8.87864e-07
1.00045 -9.2133e-06 9.24589e-07
1.00045 -1.04489e-05 9.60536e-07
1.00045 -1.16903e-05 9.95687e-07
1.00044 -1.30137e-05 1.03005e-06
1.00044 -1.43411e-05 1.06361e-06
1.00044 -1.57484e-05 1.09637e-06
1.00044 -1.71579e-05 1.12832e-06
1.00044 -1.86452e-05 1.15948e-06
1.00044 -2.01329e-05 1.18984e-06
1.00044 -2.16963e-05 1.2194e-06
1.00044 -2.32583e-05 1.24817e-06
1.00043 -2.48938e-05 1.27615e-06
1.00043 -2.65262e-05 1.30335e-06
1.00043 -2.82301e-05 1.32978e-06
1.00043 -2.99291e-05 1.35543e-06
1.00043 -3.16975e-05 1.38032e-06
